@context,@type,offers,brand,name,description,category,url,sku,image,availability,price,priceCurrency,priceValidUntil,date
http://schema.org,Offer,"[{'@type': 'Offer', 'name': 'Default Title', 'availability': 'https://schema.org/InStock', 'price': '18.00', 'priceCurrency': 'INR', 'priceValidUntil': '2021-02-12', 'sku': 'AM2', 'url': 'https://fastandfresh.in/products/amla?variant=37571045458086'}]",{'name': 'FFG'},Default Title,"Health benefits of Amla-:


It improves eyesight. ...


It burns fat. ...


It builds immunity. ...


Amla beautifies hair. ...


It improves skin. ...


It helps manage chronic conditions. 


It relieves pain.

",Fruit,https://fastandfresh.in/products/amla?variant=37571045458086,AM2,"{'@type': 'ImageObject', 'url': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/Amla_1024x.jpg?v=1610895317', 'image': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/Amla_1024x.jpg?v=1610895317', 'name': 'Amla (Price per 200 gms) - FAST AND FRESH  GLOBAL LLP', 'width': '1024', 'height': '1024'}",https://schema.org/InStock,18.00,INR,2021-02-12,2021-02-02
http://schema.org,Offer,"[{'@type': 'Offer', 'name': 'Default Title', 'availability': 'https://schema.org/InStock', 'price': '128.00', 'priceCurrency': 'INR', 'priceValidUntil': '2021-02-12', 'sku': 'AN1', 'url': 'https://fastandfresh.in/products/anar-kandhari?variant=37571045425318'}]",{'name': 'FFG'},Default Title,"Health benefits of pomegranate (Anar)-:


Protects us from free radicals. ...


Prevention of atherosclerosis. ...



It acts like an oxygen mask. ...


It prevents arthritis. ...


Fights erectile dysfunction. ...


Fights heart disease and prostate cancer. ...

",Fruit,https://fastandfresh.in/products/anar-kandhari?variant=37571045425318,AN1,"{'@type': 'ImageObject', 'url': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/anar-pomegranate_1024x.jpg?v=1610895315', 'image': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/anar-pomegranate_1024x.jpg?v=1610895315', 'name': 'Anar (Price per 500 gms) - FAST AND FRESH  GLOBAL LLP', 'width': '1024', 'height': '1024'}",https://schema.org/InStock,128.00,INR,2021-02-12,2021-02-02
http://schema.org,Offer,"[{'@type': 'Offer', 'name': 'Default Title', 'availability': 'https://schema.org/InStock', 'price': '139.00', 'priceCurrency': 'INR', 'priceValidUntil': '2021-02-12', 'sku': 'AP4', 'url': 'https://fastandfresh.in/products/apple-golden-price-per-kg?variant=37571031335078'}]",{'name': 'FFG'},Default Title,"Interesting Health Benefits Of Golden Apple-:


Boosts Immune System 

Helps Treat Cough 
Improves Skin Health
Helps Treat Digestive Problems 
Provides Energy
Helps in Weight Loss
",Fruit,https://fastandfresh.in/products/apple-golden-price-per-kg?variant=37571031335078,AP4,"{'@type': 'ImageObject', 'url': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/Apples_Golden_1024x.jpg?v=1610895023', 'image': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/Apples_Golden_1024x.jpg?v=1610895023', 'name': 'Apple Golden (Price per kg)', 'width': '1024', 'height': '1024'}",https://schema.org/InStock,139.00,INR,2021-02-12,2021-02-02
http://schema.org,Offer,"[{'@type': 'Offer', 'name': 'Default Title', 'availability': 'https://schema.org/InStock', 'price': '112.00', 'priceCurrency': 'INR', 'priceValidUntil': '2021-02-12', 'sku': 'AP1', 'url': 'https://fastandfresh.in/products/apple-green-imported-price-per-kg?variant=37571043655846'}]",{'name': 'FFG'},Default Title,"Some amazing Health benefits of (Apple grenny smith)-:


Reduces the risk of cancer.


Detoxifies the liver.


Strengthens the Bones.


Improves Digestion.


Improves Vision.


 ",Exotic Fruit,https://fastandfresh.in/products/apple-green-imported-price-per-kg?variant=37571043655846,AP1,"{'@type': 'ImageObject', 'url': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/greenapple_1024x.jpg?v=1610895283', 'image': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/greenapple_1024x.jpg?v=1610895283', 'name': 'Apple Green Imported (Price per 500 gm) - FAST AND FRESH  GLOBAL LLP', 'width': '1024', 'height': '1024'}",https://schema.org/InStock,112.00,INR,2021-02-12,2021-02-02
http://schema.org,Offer,"[{'@type': 'Offer', 'name': 'Default Title', 'availability': 'https://schema.org/InStock', 'price': '195.00', 'priceCurrency': 'INR', 'priceValidUntil': '2021-02-12', 'sku': 'AP9', 'url': 'https://fastandfresh.in/products/apple-shimla-price-per-500gms?variant=37571036905638'}]",{'name': 'FFG'},Default Title,"Surprising and Impressive Health Benefits of Apples Shimla -:


Decrease risk of diabetes. ...


Control your weight. ...


Keeps Teeth Healthy. ...


Reduces the risk of heart-related diseases. ...

",Fruit,https://fastandfresh.in/products/apple-shimla-price-per-500gms?variant=37571036905638,AP9,"{'@type': 'ImageObject', 'url': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/APPLESHIMLA_1024x.jpg?v=1610895159', 'image': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/APPLESHIMLA_1024x.jpg?v=1610895159', 'name': 'Apple Shimla (Price per kg) - FAST AND FRESH  GLOBAL LLP', 'width': '1024', 'height': '1024'}",https://schema.org/InStock,195.00,INR,2021-02-12,2021-02-02
http://schema.org,Offer,"[{'@type': 'Offer', 'name': 'Default Title', 'availability': 'https://schema.org/InStock', 'price': '130.00', 'priceCurrency': 'INR', 'priceValidUntil': '2021-02-12', 'sku': 'AP5', 'url': 'https://fastandfresh.in/products/apple-red-delicious-imported-price-per-500-gms?variant=37697628831910'}]",{'name': 'FFG'},Default Title,"Impressive Health Benefits of Apples


Apples Are Nutritious. 
Apples May Be Good for Weight Loss. 

Apples May Be Good for Your Heart. 

They're Linked to a Lower Risk of Diabetes. 
They May Have Prebiotic Effects and Promote Good Gut Bacteria. 

",Exotic Fruit,https://fastandfresh.in/products/apple-red-delicious-imported-price-per-500-gms?variant=37697628831910,AP5,"{'@type': 'ImageObject', 'url': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/APPLE_RED_ITLY_1024x.png?v=1612163931', 'image': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/APPLE_RED_ITLY_1024x.png?v=1612163931', 'name': 'Apple Red Delicious Imported (Price per 500 gms)', 'width': '1024', 'height': '1024'}",https://schema.org/InStock,130.00,INR,2021-02-12,2021-02-02
http://schema.org,Offer,"[{'@type': 'Offer', 'name': 'Default Title', 'availability': 'https://schema.org/InStock', 'price': '124.00', 'priceCurrency': 'INR', 'priceValidUntil': '2021-02-12', 'sku': 'AP3', 'url': 'https://fastandfresh.in/products/apple-royal-gala-price-per-500-gms?variant=37571042082982'}]",{'name': 'FFG'},Default Title,"Health Benefits of Royal Gala Apples-:



 Vitamin C:  Gala Apples are home for vitamin C. 



 Fat and Calories: Finally, for fat and calories, these apples are strongly recognized.


Carbohydrates: Royal Gala apples also have a space for carbohydrates.


 
 









",Exotic Fruit,https://fastandfresh.in/products/apple-royal-gala-price-per-500-gms?variant=37571042082982,AP3,"{'@type': 'ImageObject', 'url': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/APPLEGALA_1024x.jpg?v=1610895252', 'image': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/APPLEGALA_1024x.jpg?v=1610895252', 'name': 'Apple Royal Gala (Price per 500 gms) - FAST AND FRESH  GLOBAL LLP', 'width': '1024', 'height': '1024'}",https://schema.org/InStock,124.00,INR,2021-02-12,2021-02-02
http://schema.org,Offer,"[{'@type': 'Offer', 'name': 'Default Title', 'availability': 'https://schema.org/InStock', 'price': '146.00', 'priceCurrency': 'INR', 'priceValidUntil': '2021-02-12', 'sku': 'AP4', 'url': 'https://fastandfresh.in/products/apple-washington?variant=37571043754150'}]",{'name': 'FFG'},Default Title,"Washington Apple Health benefits-:


Apples May Be Good for Weight Loss. ...


Apples May Be Good for Your Heart. ...


They're Linked to a Lower Risk of Diabetes. ...


They May Have Prebiotic Effects and Promote Good Gut Bacteria. ...


Substances in Apples May Help Prevent Cancer. ...

",Exotic Fruit,https://fastandfresh.in/products/apple-washington?variant=37571043754150,AP4,"{'@type': 'ImageObject', 'url': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/APPLEWASHINGTON_1024x.jpg?v=1610895288', 'image': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/APPLEWASHINGTON_1024x.jpg?v=1610895288', 'name': 'Apple Washington (Price per 500 gms) - FAST AND FRESH  GLOBAL LLP', 'width': '1024', 'height': '1024'}",https://schema.org/InStock,146.00,INR,2021-02-12,2021-02-02
http://schema.org,Offer,"[{'@type': 'Offer', 'name': 'Default Title', 'availability': 'https://schema.org/InStock', 'price': '152.00', 'priceCurrency': 'INR', 'priceValidUntil': '2021-02-12', 'sku': 'APR2', 'url': 'https://fastandfresh.in/products/apricot-dry-fresh-price-per-200gms?variant=37571036938406'}]",{'name': 'FFG'},Default Title,"Dried Apricots Contain High Levels of Nutrients-:


Encourages cell growth..


Builds up the immune system.


Maintains good vision..


Keeps bones healthy


Assists in reproduction

",Exotic Fruit,https://fastandfresh.in/products/apricot-dry-fresh-price-per-200gms?variant=37571036938406,APR2,"{'@type': 'ImageObject', 'url': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/DRY_1024x.jpg?v=1610895161', 'image': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/DRY_1024x.jpg?v=1610895161', 'name': 'Apricot Dry (Price per 200 gms) - FAST AND FRESH  GLOBAL LLP', 'width': '1024', 'height': '1024'}",https://schema.org/InStock,152.00,INR,2021-02-12,2021-02-02
http://schema.org,Offer,"[{'@type': 'Offer', 'name': 'Default Title', 'availability': 'https://schema.org/InStock', 'price': '19.00', 'priceCurrency': 'INR', 'priceValidUntil': '2021-02-12', 'sku': 'AR1', 'url': 'https://fastandfresh.in/products/arbi-price-per-250-gms?variant=37571041820838'}]",{'name': 'FFG'},Default Title,"Health Benefits Of Arbi (Taro)-:


Helps In Combating Diabetes. ...


Protects Heart. ...


Provides A Number Of Antioxidants. ...


May Control Hypertension.

",Vegetables,https://fastandfresh.in/products/arbi-price-per-250-gms?variant=37571041820838,AR1,"{'@type': 'ImageObject', 'url': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/arbi_1024x.jpg?v=1610895242', 'image': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/arbi_1024x.jpg?v=1610895242', 'name': 'Arbi (Price per 250 gms) - FAST AND FRESH  GLOBAL LLP', 'width': '1024', 'height': '1024'}",https://schema.org/InStock,19.00,INR,2021-02-12,2021-02-02
